week_start,week_end,url,title,date,domain,language
2022-01-03,2022-01-09,https://www.jdsupra.com/legalnews/national-defense-authorization-act-2831074/,National Defense Authorization Act – Implications for U . S . Sanctions Programs | Morrison & Foerster LLP,20220103T204500Z,jdsupra.com,English
2022-01-03,2022-01-09,https://www.washingtonexaminer.com/restoring-america/patriotism-unity/full-diplomatic-break-decoding-the-latest-biden-putin-call,Full diplomatic break ? Decoding the latest Biden - Putin call,20220103T131500Z,washingtonexaminer.com,English
2022-01-03,2022-01-09,https://www.mondaq.com/unitedstates/export-controls-trade-investment-sanctions/1146762/canadian-bank-settles-ofac-charges-for-potential-north-korea-and-narcotics-kingpin-sanctions-violations,Canadian Bank Settles OFAC Charges For Potential North Korea And Narcotics Kingpin Sanctions Violations - International Law,20220103T113000Z,mondaq.com,English
2022-01-03,2022-01-09,https://en.prothomalo.com/bangladesh/rab-wants-govt-to-resolve-us-sanctions,RAB wants govt to resolve US sanctions,20220103T123000Z,en.prothomalo.com,English
2022-01-03,2022-01-09,https://www.msn.com/en-xl/asia/bangladesh/dhaka-waiting-on-washingtons-response-open-to-suggestions/ar-AASosTx,"Dhaka waiting on Washington response , open to suggestions",20220103T223000Z,msn.com,English
2022-01-03,2022-01-09,https://skift.com/2022/01/03/airbnb-settles-cuba-sanctions-issue-with-u-s-treasury-department/,Airbnb Settles Cuba Sanctions Issue With U . S . Treasury Department,20220103T230000Z,skift.com,English
2022-01-03,2022-01-09,https://www.businessinsider.com.au/rep-adam-schiff-seems-very-likely-russia-will-invade-ukraine-2022-1,Rep . Adam Schiff says it appears to be  very likely  that Russia will invade Ukraine,20220103T010000Z,businessinsider.com.au,English
2022-01-03,2022-01-09,https://www.thedailystar.net/news/bangladesh/diplomacy/news/us-sanctions-rab-will-fix-if-any-weaknesses-found-2931991,US Sanctions on Rab : Will fix if any weaknesses found,20220103T211500Z,thedailystar.net,English
2022-01-03,2022-01-09,https://nationalinterest.org/feature/solving-syria%E2%80%99s-crisis-starts-sanctioning-iranian-oil-198665,Solving Syria Crisis Starts with Sanctioning Iranian Oil,20220103T164500Z,nationalinterest.org,English
2022-01-03,2022-01-09,https://www.thedailystar.net/news/bangladesh/diplomacy/news/us-sanction-rab-will-try-address-if-theres-any-weakness-momen-now-says-2931746,"US sanction on Rab : Will try to address if there any weakness , Momen now says",20220103T193000Z,thedailystar.net,English
2022-01-03,2022-01-09,https://www.urdupoint.com/en/world/airbnb-agrees-to-91000-settlement-with-us-t-1440715.html,"Airbnb Agrees To $91 , 000 Settlement With US Treasury Over Cuba Sanctions ViolationS",20220104T000000Z,urdupoint.com,English
2022-01-03,2022-01-09,http://www.koreaherald.com/view.php?ud=20220103000235,[ Herald Interview ] Sanctions give NK  justification  for nukes : senior diplomatic official,20220103T100000Z,koreaherald.com,English
2022-01-03,2022-01-09,https://www.tasnimnews.com/en/news/2022/01/03/2637553/west-backs-off-from-maximum-demands-in-vienna-talks-iranian-spokesman,West Backs Off from Maximum Demands in Vienna Talks : Iranian Spokesman - Politics news,20220103T103000Z,tasnimnews.com,English
2022-01-03,2022-01-09,https://news.yahoo.com/biden-tells-zelensky-us-allies-004148506.html,"Biden tells Zelensky US , allies will  respond decisively  if Russia invades",20220103T013000Z,news.yahoo.com,English
2022-01-03,2022-01-09,https://thehill.com/policy/international/europe/587940-biden-tells-ukrainian-president-that-us-and-allies-will-respond,"Biden tells Zelensky US , allies will  respond decisively  if Russia invades",20220103T011500Z,thehill.com,English
2022-01-03,2022-01-09,https://thenationonlineng.net/talks-on-irans-nuclear-programme-resume-in-vienna/,Talks on Iran nuclear programme resume in Vienna,20220103T141500Z,thenationonlineng.net,English
2022-01-03,2022-01-09,https://www.msn.com/en-us/news/world/biden-tells-zelensky-that-us-and-allies-will-respond-if-russia-invades/ar-AASmUiQ,"Biden tells Zelensky US , allies will  respond decisively  if Russia invades",20220103T011500Z,msn.com,English
2022-01-03,2022-01-09,https://www.msn.com/en-us/news/world/biden-tells-zelensky-us-allies-will-respond-decisively-if-russia-invades/ar-AASmUiQ,"Biden tells Zelensky US , allies will  respond decisively  if Russia invades",20220103T014500Z,msn.com,English
2022-01-03,2022-01-09,https://www.msn.com/en-us/news/world/biden-tells-zelensky-that-u-s-and-allies-will-respond-if-russia-invades/ar-AASmUiQ,"Biden tells Zelensky US , allies will  respond decisively  if Russia invades",20220103T020000Z,msn.com,English
2022-01-03,2022-01-09,https://www.msn.com/en-us/news/world/biden-tells-ukrainian-president-that-u-s-and-allies-will-respond-if-russia-invades/ar-AASmUiQ,"Biden tells Zelensky US , allies will  respond decisively  if Russia invades",20220103T013000Z,msn.com,English
2022-01-03,2022-01-09,https://www.mondaq.com/unitedstates/export-controls-trade-investment-sanctions/1146764/ofac-expands-authorizations-for-humanitarian-aid-to-afghanistan-,OFAC Expands Authorizations For Humanitarian Aid To Afghanistan - International Law,20220103T061500Z,mondaq.com,English
2022-01-03,2022-01-09,https://menafn.com/1103481648/Ukraine-House-Intelligence-Committee-chair-Russias-invasion-going-to-bring-NATO-closer-to-Russia&source=19,Ukraine - House Intelligence Committee chair : Russia invas ...,20220103T194500Z,menafn.com,English
2022-01-03,2022-01-09,https://www.msn.com/en-ae/news/middleeast/iran-detects-new-realism-from-west-in-nuclear-talks/ar-AASozZQ,Iran detects new  realism  from West in nuclear talks,20220103T221500Z,msn.com,English
