WEEK,NUM_ALERTS
2022-01-03,36127
2022-01-10,200
2022-01-17,90
2022-01-24,165
2022-01-31,106
2022-02-07,75
2022-02-14,21321
2022-02-21,6682
2022-02-28,241
2022-03-07,45
2022-03-14,251
2022-03-21,223
2022-03-28,1188
2022-04-04,734
2022-04-11,52636
2022-04-18,821
2022-04-25,1808
2022-05-02,2237
2022-05-09,1752
2022-05-16,903
2022-05-23,1531
2022-05-30,1650
2022-06-06,1258
2022-06-13,687
2022-06-20,3859
2022-06-27,1470
2022-07-04,2289
2022-07-11,2501
2022-07-18,1650
2022-07-25,2067
2022-08-01,1554
2022-08-08,933
2022-08-15,1098
2022-08-22,998
2022-08-29,1426
2022-09-05,1780
2022-09-12,1429
2022-09-19,1710
2022-09-26,1527
2022-10-03,2582
2022-10-10,329
2022-10-17,354
2022-10-24,429
2022-10-31,6200
2022-11-07,2258
2022-11-14,2249
2022-11-21,1251
2022-11-28,591
2022-12-05,1925
2022-12-12,5445
2022-12-19,3918
2022-12-26,1353
2023-01-02,897
2023-01-09,891
2023-01-16,3918
2023-01-23,1126
2023-01-30,3700
2023-02-06,4079
2023-02-13,1536
2023-02-20,2297
2023-02-27,1645
2023-03-06,1316
2023-03-13,912
2023-03-20,2584
2023-03-27,1185
2023-04-03,1050
2023-04-10,7360
2023-04-17,1560
2023-04-24,1244
2023-05-01,1991
2023-05-08,1319
2023-05-15,5224
2023-05-22,1995
2023-05-29,1464
2023-06-05,787
2023-06-12,934
2023-06-19,1527
2023-06-26,1127
2023-07-03,1489
2023-07-10,1439
2023-07-17,248
2023-07-24,1709
2023-07-31,1799
2023-08-07,1348
2023-08-14,755
2023-08-21,824
2023-08-28,1126
2023-09-04,1126
2023-09-11,1168
2023-09-18,2317
2023-09-25,6703
2023-10-02,1128
2023-10-09,578
2023-10-16,1447
2023-10-23,1407
2023-10-30,1102
2023-11-06,1498
2023-11-13,1503
2023-11-20,600
2023-11-27,2029
2023-12-04,892
2023-12-11,3201
2023-12-18,2156
2023-12-25,739
2024-01-01,594
2024-01-08,3686
2024-01-15,3026
2024-01-22,4337
2024-01-29,12482
2024-02-05,3195
2024-02-12,2367
2024-02-19,1899
2024-02-26,4618
2024-03-04,8339
2024-03-11,1299
2024-03-18,2027
2024-03-25,1632
2024-04-01,1355
2024-04-08,1002
2024-04-15,1723
2024-04-22,1219
2024-04-29,2626
2024-05-06,2890
2024-05-13,1250
2024-05-20,2128
2024-05-27,5738
2024-06-03,5063
2024-06-10,3015
2024-06-17,3185
2024-06-24,4638
2024-07-01,6142
2024-07-08,3957
2024-07-15,25941
2024-07-22,6504
2024-07-29,3764
2024-08-05,4837
2024-08-12,4460
2024-08-19,14159
2024-08-26,3886
2024-09-02,6398
2024-09-09,4089
2024-09-16,13034
2024-09-23,9208
2024-09-30,6068
2024-10-07,5324
2024-10-14,7441
2024-10-21,20637
2024-10-28,6497
2024-11-04,3545
2024-11-11,3358
2024-11-18,4314
2024-11-25,7920
2024-12-02,4303
2024-12-09,4168
2024-12-16,3830
2024-12-23,3322
2024-12-30,1767
2025-01-06,2285
2025-01-13,7355
2025-01-20,3134
2025-01-27,2185
2025-02-03,2495
2025-02-10,4895
2025-02-17,2919
2025-02-24,9676
2025-03-03,5374
2025-03-10,8043
2025-03-17,5758
2025-03-24,4605
2025-03-31,7783
2025-04-07,6466
2025-04-14,7965
2025-04-21,4450
2025-04-28,4254
2025-05-05,4259
2025-05-12,4748
2025-05-19,7494
2025-05-26,4700
2025-06-02,5345
2025-06-09,9573
2025-06-16,4863
2025-06-23,2420
2025-06-30,5235
2025-07-07,3254
2025-07-14,5914
2025-07-21,2999
2025-07-28,5670
2025-08-04,8012
2025-08-11,9989
2025-08-18,3206
2025-08-25,3077
2025-09-01,2536
2025-09-08,12532
2025-09-15,17217
2025-09-22,37557
2025-09-29,12626
2025-10-06,471
